,day,turnSpent,advUsed,location,combat,free?,items,meat,rounds,mox,mus,mys,effectsGained,clover,nativeMonster,hpGain,hpLoss,ncTitle,semirare,itemsUsed,skills,crafting,lineRange,freeNC,macroFrom
11,1,6,1,The Haunted Kitchen,paper towelgeist,0,['Spookyraven billiards room key'],108,5,16,12,42,[],,True,0,0,,,[],['SING ALONG!'],,"[1115, 1157]",,[]
12,1,7,1,The Beanbat Chamber,beanbat,0,"['enchanted bean', 'sonar-in-a-biscuit']",155,3,8,5,25,[],,True,53,0,,,[],"['OTOSCOPE!', 'DARK FEAST!']",,"[1157, 1201]",,[]
13,1,8,0,Crafting Adventure,N/A,1,[],0,-1,0,0,0,[],,,0,0,???,,[],[],Cook 10 wad of dough + 10 soda water,"[1201, 1208]",1,[]
14,1,8,0,The Spooky Forest,bar,1,[],0,1,0,0,0,[],,True,0,0,,,[],['ASDON MARTIN: SPRING-LOADED FRONT BUMPER!'],,"[1208, 1214]",,[]
15,1,8,1,The Boss Bat's Lair,beefy bodyguard bat,0,[],1860,3,10,17,29,"[('Papowerful', 5)]",,True,0,0,,,[],['SING ALONG!'],,"[1214, 1234]",,[]
16,1,9,1,The Boss Bat's Lair,beefy bodyguard bat,0,['beefy pill'],1996,4,17,5,42,[],,True,125,0,,,[],"['DARK FEAST!', 'SING ALONG!']",,"[1234, 1281]",,[]
17,1,10,0,The Spooky Forest,annoyed snake,1,"['meadeorite', 'snake skin']",334,3,23,21,79,[],,,0,0,,,[],"['SING ALONG!', 'SAVAGE BITE!']",,"[1281, 1300]",,[]
18,1,10,1,The Boss Bat's Lair,beefy bodyguard bat,0,[],1395,5,21,13,51,[],,True,80,0,,,[],"['SING ALONG!', 'DARK FEAST!']",,"[1300, 1320]",,[]
19,1,11,1,The Boss Bat's Lair,beefy bodyguard bat,0,[],1748,4,13,23,49,[],,True,0,-4,,,[],['SING ALONG!'],,"[1320, 1343]",,[]
20,1,12,1,The Boss Bat's Lair,Steve Harker,0,['white money bag'],0,6,24,17,49,"[('Hair on Your Chest', 5)]",,,28,-12,,,[],"['SING ALONG!', 'DARK FEAST!']",,"[1343, 1380]",,[]
21,1,13,0,Pump Up Moxie,N/A,1,[],0,-1,0,0,0,[],,,0,0,???,,[],[],,"[1380, 1400]",1,[]
22,1,13,0,The Tunnel of L.O.V.E.,N/A,1,[],0,-1,0,0,0,[],,,0,0,The Tunnel of L.O.V.E.,,[],[],,"[1400, 1405]",1,[]
23,1,13,0,The Tunnel of L.O.V.E.,L.O.V. Entrance,1,[],0,4,58,52,174,[],,,14,0,,,[],"['SING ALONG!', 'CHILL OF THE TOMB!', 'CHILL OF THE TOMB!']",,"[1405, 1429]",,[]
24,1,13,0,The Tunnel of L.O.V.E.,N/A,1,[],0,-1,0,0,0,[],,,0,0,L.O.V. Equipment Room,,[],[],,"[1429, 1436]",1,[]
25,1,13,0,The Tunnel of L.O.V.E.,L.O.V. Engine Room,1,['LOV Epaulettes'],0,2,53,54,190,[],,,14,0,,,[],['SAVAGE BITE!'],,"[1436, 1458]",,[]
26,1,13,0,The Tunnel of L.O.V.E.,N/A,1,[],0,-1,0,0,0,[],,,0,0,L.O.V. Emergency Room,,[],[],,"[1458, 1465]",1,[]
27,1,13,0,The Tunnel of L.O.V.E.,L.O.V. Elbow Room,1,[],0,3,74,62,183,"[('Lovebotamy', 50)]",,,14,0,,,[],"['CHILL OF THE TOMB!', 'CHILL OF THE TOMB!']",,"[1465, 1488]",,[]
28,1,13,0,The Tunnel of L.O.V.E.,N/A,1,['LOV Enamorang'],0,-1,0,0,0,[],,,0,0,L.O.V. Emporium,,[],[],,"[1488, 1499]",1,[]
29,1,13,1,The Haunted Billiards Room,chalkdust wraith,0,"['handful of hand chalk', 'Evilometer']",0,6,38,52,119,[],,True,66,-34,,,[],['DARK FEAST!'],,"[1499, 1528]",,[]
30,1,14,1,The Haunted Billiards Room,pooltergeist,0,['Special Seasoning'],0,3,24,32,162,"[('Celestial Body', 5)]",,True,0,0,,,[],['SING ALONG!'],,"[1528, 1546]",,[]
31,1,15,1,The Haunted Billiards Room,pooltergeist,0,"['4-ball', '8-ball']",0,3,42,36,133,[],,True,4,-4,,,[],['SING ALONG!'],,"[1546, 1566]",,[]
32,1,16,1,The Haunted Billiards Room,chalkdust wraith,0,"['meadeorite', 'handful of hand chalk']",0,6,34,30,152,[],,True,69,-38,,,[],['DARK FEAST!'],,"[1566, 1596]",,[]
33,1,17,1,The Haunted Billiards Room,pooltergeist,0,[],0,3,36,44,130,[],,True,0,0,,,[],['SING ALONG!'],,"[1596, 1628]",,[]
34,1,18,0,The Spooky Forest,sausage goblin,1,['magical sausage casing'],295,2,76,78,244,[],,,9,-81,,,[],['CHILL OF THE TOMB!'],,"[1628, 1656]",,[]
35,1,18,1,The Haunted Billiards Room,N/A,0,['pool cue'],0,-1,0,0,0,[],,,0,0,That's Your Cue,,[],[],,"[1656, 1666]",,[]
36,1,19,1,The Haunted Billiards Room,chalkdust wraith,0,['handful of hand chalk'],0,2,16,19,50,"[('Weally Satisfied', 5)]",,True,14,-13,,,[],['CHILL OF THE TOMB!'],,"[1666, 1682]",,[]
37,1,20,1,The Haunted Billiards Room,pooltergeist,0,"['1-ball', 'blood bag']",0,4,13,23,50,[],,True,78,0,,,[],"['CRUSH!', 'DARK FEAST!', 'PIERCING GAZE!']",,"[1682, 1730]",,[]
38,1,21,0,The Spooky Forest,annoyed snake,1,['snake skin'],90,4,82,64,214,[],,,49,0,,,[],"['CHILL OF THE TOMB!', 'DARK FEAST!', 'PIERCING GAZE!']",,"[1730, 1761]",,[]
39,1,21,1,The Haunted Billiards Room,N/A,0,[],0,-1,0,0,0,[],,,0,0,Welcome To Our ool Table,,[],[],,"[1761, 1766]",,[]
40,1,22,0,The Haunted Billiards Room,N/A,1,[],0,-1,0,0,0,[],,,0,0,Lights Out in the Billiards Room,,[],[],,"[1766, 1771]",1,[]
41,1,22,1,The Haunted Billiards Room,chalkdust wraith,0,['handful of hand chalk'],0,2,40,30,108,[],,True,14,-15,,,[],['CHILL OF THE TOMB!'],,"[1771, 1801]",,[]
42,1,23,0,The Goatlet,sausage goblin,1,['magical sausage casing'],303,2,92,82,163,[],,,0,-49,,,[],['PIERCING GAZE!'],,"[1801, 1822]",,[]
43,1,23,0,The Goatlet,sabre-toothed goat,1,[],0,1,0,0,0,[],,True,0,0,,,[],['REFLEX HAMMER!'],,"[1822, 1832]",,[]
44,1,23,1,The Goatlet,dairy goat,0,"['goat cheese', ""glass of goat's milk"", 'Shivering Ch&egrave;vre']",250,3,44,28,111,"[('Pyramid Power', 5)]",,True,0,0,,,[],['PERCEIVE SOUL!'],,"[1832, 1852]",,[]
45,1,24,1,The Goatlet,dairy goat,0,"['goat cheese', ""glass of goat's milk""]",200,2,56,30,102,[],,True,0,0,,,[],[],,"[1852, 1873]",,[]
46,1,25,1,The Goatlet,dairy goat,0,"['goat cheese', ""glass of goat's milk"", 'Shivering Ch&egrave;vre']",209,2,36,30,117,[],,True,0,0,,,[],[],,"[1873, 1914]",,[]
47,1,26,0,Crafting Adventure,N/A,1,['Red Russian'],0,-1,0,0,0,[],,,0,0,???,,[],[],Mix 1 blood bag + 1 glass of goat's milk,"[1914, 1928]",1,[]
48,1,26,1,The Haunted Billiards Room,chalkdust wraith,0,['handful of hand chalk'],0,2,17,17,48,[],,True,10,-11,,,[],['CHILL OF THE TOMB!'],,"[1928, 1944]",,[]
49,1,27,1,The Haunted Billiards Room,N/A,0,['Spookyraven library key'],0,-1,0,0,0,[],,,0,0,Welcome To Our ool Table,,[],[],,"[1944, 1960]",,[]
50,1,28,0,The Haunted Library,bookbat,1,[],0,1,0,0,0,[],,True,0,0,,,[],['THROW LATTE ON OPPONENT!'],,"[1960, 1968]",,[]
51,1,28,0,The Haunted Library,N/A,1,[],0,-1,0,0,0,[],,,0,0,"Take a Look, it's in a Book!",,[],[],,"[1968, 1973]",1,[]
52,1,28,1,The Haunted Library,writing desk,0,"['disintegrating quill pen', 'inkwell', 'snifter of thoroughly aged brandy', 'Special Seasoning']",0,3,22,21,56,[],,True,0,0,,,[],['PERCEIVE SOUL!'],,"[1973, 1997]",,[]
53,1,29,1,The Haunted Library,banshee librarian,0,"['disintegrating quill pen', 'killing jar', 'Pok&eacute;-Gro fertilizer']",0,2,8,18,72,"[('Bells in the Batfry', 5)]",,True,0,-28,,,[],[],,"[1997, 2021]",,[]
54,1,30,1,The Haunted Library,writing desk,0,"['inkwell', 'snifter of thoroughly aged brandy']",0,2,12,17,57,[],,True,11,0,,,[],[],,"[2021, 2039]",,[]
55,1,31,1,The Haunted Library,writing desk,0,"['inkwell', 'snifter of thoroughly aged brandy']",0,2,16,21,60,[],,True,11,0,,,[],[],,"[2039, 2057]",,[]
56,1,32,1,The Haunted Library,writing desk,0,"['inkwell', 'snifter of thoroughly aged brandy']",0,2,13,22,63,[],,True,11,0,,,[],[],,"[2057, 2073]",,[]
57,1,33,0,The Haunted Library,banshee librarian,1,[],0,1,0,0,0,[],,True,0,-32,,,[],['BALEFUL HOWL!'],,"[2073, 2082]",,[]
58,1,33,1,The Haunted Library,writing desk,0,"['inkwell', 'snifter of thoroughly aged brandy', ""Lady Spookyraven's necklace""]",0,2,13,19,68,[],,True,11,0,,,[],[],,"[2082, 2103]",,[]
59,1,34,1,The Haunted Bedroom,animated ornate nightstand,0,"[""Lord Spookyraven's spectacles""]",0,4,14,16,81,"[('Good with the Ladies', 5)]",,True,11,0,,,[],"['OFFER LATTE TO OPPONENT!', 'PERCEIVE SOUL!']",,"[2103, 2125]",,[]
60,1,35,1,The Haunted Bedroom,animated ornate nightstand,0,['disposable instant camera'],0,2,23,20,72,[],,True,1,0,,,[],[],,"[2125, 2143]",,[]
61,1,36,0,The Haunted Bedroom,animated rustic nightstand,1,[],0,1,0,0,0,[],,True,0,0,,,[],['BALEFUL HOWL!'],,"[2143, 2151]",,[]
62,1,36,1,The Haunted Bedroom,animated ornate nightstand,0,[],0,3,24,20,67,[],,True,11,-2,,,[],[],,"[2151, 2174]",,[]
63,1,37,1,The Haunted Bedroom,sausage goblin,1,[],0,1,0,0,0,[],,,0,-119,,,[],[],,"[2174, 2188]",,[]
64,1,38,1,The Haunted Bedroom,animated ornate nightstand,0,[],0,2,22,23,65,[],,True,0,0,,,[],[],,"[2188, 2210]",,[]
65,1,39,0,The Haunted Bedroom,Wardr&ouml;b nightstand,1,[],0,1,0,0,0,[],,True,0,0,,,[],['KGB TRANQUILIZER DART!'],,"[2210, 2231]",,[]
66,1,39,0,Crafting Adventure,N/A,1,[],0,-1,0,0,0,[],,,0,0,???,,[],[],Cook 15 wad of dough + 15 soda water,"[2231, 2237]",1,[]
67,1,39,1,The Haunted Bedroom,elegant animated nightstand,0,"[""Lady Spookyraven's finest gown""]",0,2,20,25,65,[],,True,0,0,,,[],[],,"[2237, 2257]",,[]
68,1,40,0,The Haunted Gallery,sausage goblin,1,['magical sausage casing'],221,2,51,31,140,"[('Gonna Get You, Sucker', 5)]",,,12,-52,,,[],['CHILL OF THE TOMB!'],,"[2257, 2277]",,[]
69,1,40,0,The Haunted Gallery,sausage goblin,1,['magical sausage casing'],247,2,56,49,111,[],,,12,-51,,,[],['CHILL OF THE TOMB!'],,"[2277, 2301]",,[]
70,1,40,1,The Haunted Gallery,empty suit of armor,1,[],0,1,0,0,0,[],,True,0,-27,,,[],[],,"[2301, 2315]",,[]
71,1,41,1,The Haunted Gallery,cubist bull,0,['Gathered Meat-Clip'],319,2,22,20,61,[],,True,10,0,,,[],[],,"[2315, 2469]",,[]
72,1,42,1,The Haunted Gallery,empty suit of armor,0,['antique greaves'],15,2,23,22,50,[],,True,15,-21,,,[],[],,"[2469, 2486]",,[]
73,1,43,1,The Haunted Gallery,N/A,0,"[""Lady Spookyraven's dancing shoes""]",0,-1,0,0,0,[],,,0,0,Louvre It or Leave It,,[],[],,"[2486, 2510]",,[]
74,1,44,0,The Haunted Bathroom,claw-foot bathtub,1,[],0,1,0,0,0,[],,True,0,0,,,[],['ASDON MARTIN: SPRING-LOADED FRONT BUMPER!'],,"[2510, 2527]",,[]
75,1,44,1,The Dark Heart of the Woods,G imp,0,"['hot wing', 'Imp Ale']",107,2,36,28,133,[],,True,15,-12,,,[],[],,"[2527, 2554]",,[]
76,1,45,1,The Dark Heart of the Woods,Fallen Archfiend,0,"['evil golden arch', 'demon skin']",134,2,26,20,56,[],,True,11,-27,,,[],[],,"[2554, 2574]",,[]
77,1,46,1,The Dark Heart of the Woods,P imp,0,"['hot wing', 'Imp Ale']",104,2,17,20,67,[],,True,12,-30,,,[],[],,"[2574, 2618]",,[]
78,1,47,1,The Haunted Bathroom,malevolent hair clog,0,['gob of wet hair'],13,2,38,36,146,[],,True,11,-24,,,[],[],,"[2618, 2636]",,[]
79,1,48,1,The Haunted Bathroom,toilet papergeist,0,['roll of toilet paper'],14,2,19,21,65,[],,True,11,-22,,,[],[],,"[2636, 2654]",,[]
80,1,49,0,The Haunted Bathroom,toilet papergeist,1,[],0,1,0,0,0,[],,True,0,-23,,,[],['BALEFUL HOWL!'],,"[2654, 2665]",,[]
81,1,49,1,The Bandit Crossroads,fantasy bandit,0,['Rubee&trade;'],15,2,22,17,76,[],,True,11,0,,,[],[],,"[2665, 2689]",,[]
82,1,50,1,The Bandit Crossroads,fantasy bandit,0,['Rubee&trade;'],11,2,20,28,72,[],,True,0,0,,,[],[],,"[2689, 2703]",,[]
83,1,51,1,The Bandit Crossroads,fantasy bandit,0,['Rubee&trade;'],11,2,21,21,81,[],,True,0,0,,,[],[],,"[2703, 2718]",,[]
84,1,52,1,The Bandit Crossroads,fantasy bandit,0,['Rubee&trade;'],11,2,25,24,76,[],,True,0,0,,,[],[],,"[2718, 2735]",,[]
85,1,53,1,The Bandit Crossroads,fantasy bandit,0,"['Rubee&trade;', 'fat loot token', 'Nightmare Fuel']",10,2,20,22,77,[],,True,0,0,,,[],[],,"[2735, 2765]",,[]
86,1,54,0,The Haunted Bathroom,annoyed snake,1,['snake skin'],116,4,118,78,268,[],,,69,0,,,[],"['CHILL OF THE TOMB!', 'DARK FEAST!', 'PIERCING GAZE!']",,"[2765, 2795]",,[]
87,1,54,1,The Haunted Bathroom,malevolent hair clog,0,['gob of wet hair'],14,2,19,18,69,[],,True,11,-24,,,[],[],,"[2795, 2812]",,[]
88,1,55,1,The Haunted Bathroom,malevolent hair clog,0,['gob of wet hair'],13,2,13,22,71,[],,True,11,-23,,,[],[],,"[2812, 2829]",,[]
89,1,56,1,The Haunted Bathroom,malevolent hair clog,0,['gob of wet hair'],13,2,18,18,71,[],,True,11,-23,,,[],[],,"[2829, 2847]",,[]
90,1,57,1,The Haunted Bathroom,malevolent hair clog,0,['gob of wet hair'],11,2,14,23,68,[],,True,11,-22,,,[],[],,"[2847, 2863]",,[]
91,1,58,1,The Haunted Bathroom,malevolent hair clog,0,['gob of wet hair'],10,2,28,20,53,[],,True,11,-22,,,[],[],,"[2863, 2879]",,[]
92,1,59,0,The Haunted Bathroom,N/A,1,[],0,-1,0,0,0,[],,,0,0,Lights Out in the Bathroom,,[],[],,"[2879, 2884]",1,[]
93,1,59,1,The Haunted Bathroom,Never Gonna Make You Up,0,"[""Lady Spookyraven's powder puff"", 'old eyebrow pencil', 'old rosewater cream', 'old bronzer']",14,2,23,25,64,[],,,11,-23,,,[],[],,"[2884, 2911]",,[]
94,1,60,1,The Haunted Ballroom,N/A,0,[],0,-1,0,0,0,[],,,0,0,Having a Ball in the Ballroom,,[],[],,"[2911, 2940]",,[]
95,1,61,0,The Neverending Party,N/A,1,[],0,-1,0,0,0,[],,,0,0,???,,[],[],,"[2940, 2944]",1,[]
96,1,61,0,The Neverending Party,sausage goblin,1,"['red-hot sausage fork', 'magical sausage casing']",258,2,100,102,378,[],,,12,-54,,,[],['CHILL OF THE TOMB!'],,"[2944, 2966]",,[]
97,1,61,0,The Neverending Party,party girl,1,"['runproof mascara', 'very small red dress', 'surprisingly capacious handbag']",439,4,114,126,330,[],,True,89,0,,,[],"['CHILL OF THE TOMB!', 'DARK FEAST!', 'PIERCING GAZE!']",,"[2966, 2996]",,[]
98,1,61,0,The Neverending Party,biker,1,"['gas can', 'Middle of the Road&trade; brand whiskey']",445,4,116,144,322,[],,True,96,0,,,[],"['CHILL OF THE TOMB!', 'DARK FEAST!', 'PIERCING GAZE!']",,"[2996, 3024]",,[]
99,1,61,0,The Neverending Party,party girl,1,"['runproof mascara', 'very small red dress']",424,3,126,112,351,[],,True,11,0,,,[],"['CHILL OF THE TOMB!', 'PIERCING GAZE!']",,"[3024, 3049]",,[]
100,1,61,0,The Neverending Party,party girl,1,"['runproof mascara', 'very small red dress']",442,3,140,112,346,[],,True,11,0,,,[],"['CHILL OF THE TOMB!', 'PIERCING GAZE!']",,"[3049, 3074]",,[]
101,1,61,0,The Neverending Party,burnout,1,"['van key', 'jam band bootleg', 'ratty knitted cap']",234,3,154,138,424,[],,True,2,0,,,"['the very small red dress!', 'the exploding cigar!']",[],,"[3074, 3096]",,[]
102,1,61,0,The Neverending Party,jock,1,"['unremarkable duffel bag', 'Purple Beast energy drink', 'cosmetic football', 'shoe ad T-shirt']",547,3,132,94,392,[],,True,11,0,,,[],"['CHILL OF THE TOMB!', 'PIERCING GAZE!']",,"[3096, 3123]",,[]
103,1,61,0,The Neverending Party,N/A,1,[],0,-1,0,0,0,"[('Tomes of Opportunity', 20)]",,,0,0,"It Hasn't Ended, It's Just Paused",,[],[],,"[3123, 3132]",1,[]
104,1,61,0,The Neverending Party,&quot;plain&quot; girl,1,"['electronics kit', 'PB&J with the crusts cut off']",412,0,134,120,410,[],,,11,0,,,[],"['CHILL OF THE TOMB!', 'PIERCING GAZE!']",,"[3132, 3158]",,[]
105,1,61,0,The Neverending Party,jock,1,"['unremarkable duffel bag', 'Purple Beast energy drink']",658,3,130,124,428,[],,True,11,0,,,[],"['CHILL OF THE TOMB!', 'PIERCING GAZE!']",,"[3158, 3183]",,[]
106,1,61,0,The Neverending Party,jock,1,['shoe ad T-shirt'],564,3,152,144,527,[],,True,1,0,,,"['the very small red dress!', 'the exploding cigar!']",[],,"[3183, 3208]",,[]
107,1,61,1,Dr. Gordon Stuart's Science Tent,Eldritch Tentacle,1,[],0,4,0,0,0,[],,,0,-169,,,[],[],,"[3208, 3251]",,[]
108,1,62,1,genie summoned monster,Orcish Frat Boy Spy,0,"['distressed denim pants', 'beer helmet', 'bejeweled pledge pin']",10,2,52,56,202,[],,,13,-17,,,[],['CHILL OF THE TOMB!'],,"[3251, 3271]",,[]
109,1,63,0,Crafting Adventure,N/A,1,['Red Russian'],0,-1,0,0,0,[],,,0,0,???,,[],[],Mix 1 blood bag + 1 glass of goat's milk,"[3271, 3282]",1,[]
110,1,63,0,The Penultimate Fantasy Airship,N/A,1,[],0,-1,0,0,0,[],,,0,0,The Beginning of the End of the Penultimate Fantasy,,[],[],,"[3282, 3285]",1,[]
111,1,63,1,The Penultimate Fantasy Airship,Random Lack of an Encounter,0,"['metallic A', 'glowing red eye', 'photoprotoneutron torpedo', 'oversized pizza cutter', 'magilaser blastercannon']",15,2,44,46,165,[],,,1,0,,,[],[],,"[3285, 3313]",,[]
112,1,64,1,The Penultimate Fantasy Airship,Irritating Series of Random Encounters,0,"['tiny house', 'cocoa eggshell fragment']",591,2,36,30,186,[],,True,10,0,,,[],[],,"[3313, 3331]",,[]
113,1,65,1,The Penultimate Fantasy Airship,Random Lack of an Encounter,0,"['metallic A', 'glowing red eye', 'photoprotoneutron torpedo', 'magilaser blastercannon']",13,2,68,22,177,[],,,0,0,,,[],[],,"[3331, 3355]",,[]
114,1,66,1,The Penultimate Fantasy Airship,Random Lack of an Encounter,0,"['metallic A', 'glowing red eye', 'photoprotoneutron torpedo', 'Nightmare Fuel']",14,2,50,38,165,[],,,0,0,,,[],[],,"[3355, 3375]",,[]
115,1,67,1,The Penultimate Fantasy Airship,Spunky Princess,0,"['titanium assault umbrella', 'tiny house', 'cocoa eggshell fragment']",513,2,42,38,155,[],,True,0,0,,,[],[],,"[3375, 3393]",,[]
116,1,68,0,The Penultimate Fantasy Airship,Irritating Series of Random Encounters,1,[],0,1,0,0,0,[],,True,0,0,,,[],['BALEFUL HOWL!'],,"[3393, 3417]",,[]
117,1,68,0,Through the Spacegate,N/A,1,"['filter helmet', 'exo-servo leg braces', 'rad cloak']",0,-1,0,0,0,[],,,0,0,filter helmet,,[],[],,"[3417, 3447]",1,[]
118,1,68,0,Through the Spacegate,N/A,1,[],0,-1,0,0,0,[],,,0,0,A Whole New World,,[],[],,"[3447, 3450]",1,[]
119,1,68,1,Through the Spacegate,N/A,0,[],0,-1,0,0,0,[],,,0,0,Wide Open Spaces,,[],[],,"[3450, 3456]",,[]
120,1,69,0,Through the Spacegate,Spant soldier,1,[],0,2,0,0,0,[],,True,0,-6622,,,[],['ENSORCEL!'],,"[3456, 3465]",,[]
121,1,69,1,The Barrel Full of Barrels,N/A,0,[],0,-1,0,0,0,[],,,0,0,???,,[],[],,"[3465, 3475]",,[]
122,1,70,1,The Penultimate Fantasy Airship,Protagonist,0,"['super-spiky hair gel', 'phonics down', 'ocarina of space']",439,3,14,24,72,[],,True,17,-8,,,[],[],,"[3475, 3497]",,[]
123,1,71,0,8-Bit Realm,Blooper,1,[],0,1,0,0,0,[],,True,0,0,,,[],"['USE THE FORCE, CAPTAIN SCOTCH!!']",,"[3497, 3507]",,[]
124,1,71,1,8-Bit Realm,???,0,"['white pixel', 'white pixel', 'white pixel']",13,2,11,11,52,[],,,12,0,,,[],[],,"[3507, 3525]",,[]
125,1,72,1,8-Bit Realm,Blooper,0,"['white pixel', 'white pixel', 'white pixel']",15,2,9,14,52,[],,True,13,0,,,[],[],,"[3525, 3542]",,[]
126,1,73,0,8-Bit Realm,Blooper,1,[],0,1,0,0,0,[],,True,0,0,,,[],"['USE THE FORCE, CAPTAIN SCOTCH!!']",,"[3542, 3552]",,[]
127,1,73,1,8-Bit Realm,???,0,"['white pixel', 'white pixel', 'white pixel']",14,2,9,16,49,[],,,0,0,,,[],[],,"[3552, 3566]",,[]
128,1,74,1,8-Bit Realm,Blooper,0,"['white pixel', 'white pixel', 'white pixel']",11,2,13,6,56,[],,True,0,0,,,[],[],,"[3566, 3582]",,[]
129,1,75,0,8-Bit Realm,Blooper,1,[],0,1,0,0,0,[],,True,0,0,,,[],"['USE THE FORCE, CAPTAIN SCOTCH!!']",,"[3582, 3592]",,[]
130,1,75,1,8-Bit Realm,???,0,"['white pixel', 'white pixel', 'white pixel']",14,2,9,12,53,[],,,0,0,,,[],[],,"[3592, 3607]",,[]
131,1,76,1,8-Bit Realm,Blooper,0,"['white pixel', 'white pixel', 'white pixel']",11,2,10,15,47,[],,True,0,0,,,[],[],,"[3607, 3623]",,[]
132,1,77,1,8-Bit Realm,Blooper,0,"['white pixel', 'white pixel', 'white pixel']",10,2,5,15,56,[],,True,0,0,,,[],[],,"[3623, 3639]",,[]
133,1,78,1,8-Bit Realm,N/A,0,['fire flower'],0,-1,0,0,0,[],,,0,0,"Some Bricks Do, In Fact, Hang in the Air",True,[],[],,"[3639, 3643]",,[]
134,1,79,0,8-Bit Realm,Goomba,1,[],0,2,0,0,0,[],,True,0,0,,,[],"['MACROMETEORITE!', 'BALEFUL HOWL!']",,"[3643, 3657]",,['Tektite']
135,1,79,0,Crafting Adventure,N/A,1,[],0,-1,0,0,0,[],,,0,0,???,,[],[],Cook 10 wad of dough + 10 soda water,"[3657, 3681]",1,[]
136,1,79,1,The Black Forest,N/A,0,['black map'],0,-1,0,0,0,[],,,0,0,Forty Shades of Black,,[],[],,"[3681, 3723]",,[]
137,1,80,1,The Black Forest,black adder,0,"['adder bladder', 'black snake skin', 'sunken eyes']",429,2,21,13,73,[],,True,10,0,,,[],[],,"[3723, 3742]",,[]
138,1,81,1,The Black Forest,black friar,0,"['black label', 'Mornington crescent roll', 'Nightmare Fuel']",15,2,15,18,68,[],,True,0,0,,,[],[],,"[3742, 3760]",,[]
139,1,82,0,8-Bit Realm,Octorok,1,[],0,1,0,0,0,[],,True,0,0,,,[],['ASDON MARTIN: SPRING-LOADED FRONT BUMPER!'],,"[3760, 3768]",,[]
140,1,82,0,8-Bit Realm,Keese,1,[],0,1,0,0,0,[],,True,0,0,,,[],['BALEFUL HOWL!'],,"[3768, 3776]",,[]
141,1,82,1,The Black Forest,black widow,0,"['black pension check', 'black picnic basket']",205,2,22,20,54,[],,True,13,0,,,[],[],,"[3776, 3796]",,[]
142,1,83,1,The Black Forest,black magic woman,0,"['little black book', 'black eye shadow']",399,2,18,22,65,[],,True,1,0,,,[],[],,"[3796, 3972]",,[]
143,1,84,1,The Black Forest,All Over the Map,0,"['blackberry', 'blackberry', 'blackberry']",11,2,16,20,79,[],,,0,-4,,,[],[],,"[3972, 3996]",,[]
144,1,85,1,The Black Forest,black panther,0,"['Black No. 2', 'broken wings']",468,2,0,0,0,[],,True,0,0,,,[],[],,"[3996, 4021]",,[]
145,1,86,1,The Black Forest,black widow,0,"['black pension check', 'black picnic basket']",179,2,26,21,65,[],,True,0,0,,,[],[],,"[4021, 4042]",,[]
146,1,87,1,The Black Forest,black widow,0,"['black pension check', 'black picnic basket']",148,2,28,19,68,[],,True,9,-20,,,[],[],,"[4042, 4063]",,[]
